Name,Category,Latitude,Longitude,Address,Tags,Bus,Metro,Cab,Open_time,Close_time,Famous For
,,,,,,,,,,,
Dodda Alada Mara,"Natural Landmark, Botanical Interest",12.9068° N,77.4604° E,"Tavarekere, Kethohalli Village, Ramohalli, Bengaluru, Karnataka 560074, India","#Nature, #HeritageTree, #PicnicSpot, #Photography, #FamilyOuting, #BotanicalWonder",1,1,1,09:00,17:30,"1)One of the oldest and largest banyan trees in India (over 400 years old)                                                                                                              2)Massive aerial roots that look like individual trees

3)Serene picnic spot and photography location

4) Ecological significance and natural beauty"
Hotel Sagar,Budget Hotel / Restaurant,12.9885° N,77.5522° E,"Dr Rajkumar Road, 2nd Block, Rajajinagar, Bengaluru, Karnataka 560010, India",#MangoMilkshake,1,1,1,07:00,22:00,"1) Thick , creamy , fruity with mango pieces - mango milkshake"
Club Cabana Amusement Park,Amusement & Water Park / Resort / Event Venue,13.1606° N,77.6315° E," Sadahalli, Before International Airport Toll Gate, Bengaluru, Karnataka 562110, India",#WaterPark #FamilyFun #CorporateOuting #AdventureResort #DayOuting,1,0,1,09:00,17:30,
Akkayamma Betta, Hillock / Religious Site / Nature Spot​,13.1663° N​,77.6426° E,"Maranayakanahalli, near Chikkajala, Bengaluru, Karnataka 562157, India"," #SunsetView #TempleHill #WeekendGetaway #PlaneSpotting #Photography​
",1,0,1,06:00,18:00,"1) Temples 
2) Kalyani 
3) Scenic View of Kempegowda International Airport"
Rangoli Gardens,Cultural Heritage Theme Park / Model Village​, 13.0605° N,77.6155° E,"Inside Mahatma Gandhi Institute of Rural Energy and Development, Srirampura Cross, Rachenahalli, Jakkur, Bengaluru, Karnataka 560064",#ModelVillage #CulturalHeritage #FamilyOuting #EducationalTrip #TraditionalArt,1,0,1,09:00,18:00,"1) Cultural Exhibits
2) Interactive Activities 
3) Live Performance
4) Dining in Rangoli Kitchen"
Bengaluru's Cafe,South Indian Vegetarian Restaurant,"12.9359° N
",77.5848° E,"9th Cross, 9th Main Road, 2nd Block, Jayanagar, Bengaluru, Karnataka 560011"," #SouthIndianCuisine 
#Vegetarian #BudgetFriendly #BreakfastSpot #BenneDosa",1,1,1,07:00,21:30,"1) Butter Masala Dosa 
2) Idli Vada Combo 
3) Khara Bath
4) Kesari Bath 
5) Filter Coffee"
Shri Bande Mahakali Temple,Hindu Temple, 12.9441° N,77.5712° E,"No. 75, Shri Bande Mahakali Temple, Kempambudhi Kere Yeri, Gavipuram Guttahalli, Kempegowda Nagar, Bengaluru, Karnataka 560019", #MahakaliTemple #SpiritualSanctuary #AncientTemple #NavratriCelebration #DevotionalHub​,1,1,1,06:30,20:30,"1) Historical Significance 
2) Unique Traditions 
3) Festival celebration during Navratri"
Gobi Corner, Street Food Stall / Vegetarian Fast Food,12.9675° N,77.5732° E,"7, 2nd Cross, KV Temple Street Cross, near South Corner Hotel, Sowrashtrapet, Chickpet, Bengaluru, Karnataka 560053", #GobiManchurian #BeetrootGobi #StreetFood #ChickpetEats #VegetarianDelight​,1,1,1,16:30,22:00,"1) Beetroot- Infused Gobi Manchurian 
2) Crispy Gobi Dishes"
 O.G. Variar & Sons Bakery,Traditional Bakery / Confectionery, 12.9680° N,77.5722° E," 68, 12th Main Road, 2nd Block, Behind ESI Hospital, Opposite Anjaneya Swamy Temple, Rajajinagar, Bengaluru, Karnataka 560010",#TraditionalBakery #IconicBakery #BengaluruEats #Rajajinagar,1,1,1,08:30,21:00,"1) Fruit Puff
2) Coconut Bisuits
3) Butter Cookies 
4) Veg Puffs 
5) Plum Cake 
6) Toast"
